Date,Year,Species,ID,Ypd
1997-06-24,1997,JUMO,3,-0.85
1997-07-22,1997,JUMO,3,-1.375
1997-09-16,1997,JUMO,3,-0.75
1997-10-09,1997,JUMO,3,-1
1997-10-27,1997,JUMO,3,-1.775
1997-11-18,1997,JUMO,3,-2.9
1997-12-17,1997,JUMO,3,-2.9
1998-01-12,1998,JUMO,3,-1.575
1998-02-11,1998,JUMO,3,-1.575
1998-03-10,1998,JUMO,3,-1
1998-04-16,1998,JUMO,3,-2.125
1998-05-16,1998,JUMO,3,-1.1
1998-05-27,1998,JUMO,3,-2.025
1998-06-24,1998,JUMO,3,-2.95
1998-07-23,1998,JUMO,3,-0.65
1998-08-19,1998,JUMO,3,-0.9
1998-09-16,1998,JUMO,3,-2.8
1998-10-14,1998,JUMO,3,-2.4
1998-11-18,1998,JUMO,3,-1.125
1998-12-18,1998,JUMO,3,-1.8
1999-01-13,1999,JUMO,3,-1.825
1999-02-16,1999,JUMO,3,-1.8
1999-03-22,1999,JUMO,3,-0.875
1999-04-08,1999,JUMO,3,-1.1
1999-05-07,1999,JUMO,3,-0.8
1999-06-03,1999,JUMO,3,-0.95
1999-07-08,1999,JUMO,3,-1.375
1999-08-06,1999,JUMO,3,-0.85
1999-09-08,1999,JUMO,3,-1.45
1999-10-05,1999,JUMO,3,-2
1999-11-02,1999,JUMO,3,-2.025
1999-12-14,1999,JUMO,3,-2.45
2000-01-11,2000,JUMO,3,-3.275
2000-02-16,2000,JUMO,3,-1.675
2000-03-24,2000,JUMO,3,-1.575
2000-04-13,2000,JUMO,3,-1.35
2000-06-08,2000,JUMO,3,-2.2
2000-07-18,2000,JUMO,3,-3.85
2000-08-11,2000,JUMO,3,-1.025
2000-09-07,2000,JUMO,3,-2.075
2000-10-15,2000,JUMO,3,-1.2
2000-11-21,2000,JUMO,3,-1.5
2000-12-15,2000,JUMO,3,-1.775
2001-01-11,2001,JUMO,3,-1.825
2001-02-06,2001,JUMO,3,-1.75
2001-03-09,2001,JUMO,3,-0.7
2001-04-16,2001,JUMO,3,-0.55
2001-05-10,2001,JUMO,3,-0.625
2001-06-18,2001,JUMO,3,-0.975
2001-07-11,2001,JUMO,3,-1.125
2001-08-14,2001,JUMO,3,-1.35
2001-09-13,2001,JUMO,3,-2.575
2001-10-11,2001,JUMO,3,-3.15
2001-11-07,2001,JUMO,3,-3.55
2001-12-04,2001,JUMO,3,-2.65
2002-01-03,2002,JUMO,3,-3.325
2002-02-07,2002,JUMO,3,-3.625
2002-03-07,2002,JUMO,3,-1.7
2002-04-08,2002,JUMO,3,-2.4
2002-05-15,2002,JUMO,3,-4.575
2002-06-18,2002,JUMO,3,-5.075
2002-07-24,2002,JUMO,3,-4.575
2002-08-21,2002,JUMO,3,-4.375
2002-09-18,2002,JUMO,3,-1.8
2002-10-16,2002,JUMO,3,-1.825
2002-11-06,2002,JUMO,3,-1.65
2002-12-11,2002,JUMO,3,-1.7
2003-01-08,2003,JUMO,3,-1.8
2003-02-05,2003,JUMO,3,-2.1
2003-03-12,2003,JUMO,3,-0.85
2003-04-10,2003,JUMO,3,-0.875
2003-04-30,2003,JUMO,3,-0.9
2003-05-29,2003,JUMO,3,-0.925
2003-06-29,2003,JUMO,3,-1.7
2003-07-23,2003,JUMO,3,-2.8
2003-08-21,2003,JUMO,3,-2.325
2003-09-17,2003,JUMO,3,-1.875
2003-10-21,2003,JUMO,3,-1.275
2003-11-19,2003,JUMO,3,-1.8
2003-12-18,2003,JUMO,3,-2.55
2004-01-22,2004,JUMO,3,-2.7
